Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
âSistem Pelaporan Pajak e-Filling Vs Manual : Biaya Kepatuhan Waktu Wajib Pajak Orang Pribadi (Usahawan dan Pekerjaan Bebas) di Kabupaten Lamonganâ,Penulis : M. NUR HIDAYATULLOH KURNIAWAN,"Dosen Pembimbing I : Yuni Rimawati, S.E., MSAk., Ak., CA.","Dosen Pembimbing II :Adi Darmawan E, S.E., MAk., Ak.,CPA., CA.","ABSTRAK

Melaksanakan perpajakan merupakan kewajiban yang harus dilaksanakan oleh Wajib Pajak. Wajib Pajak akan mengeluarkan biaya-biaya untuk melakukan kegiatan tersebut, dan biaya-biaya itu disebut dengan biaya kepatuhan pajak. Penelitian ini bertujuan membandingkan biaya kepatuhan waktu yang dikeluarkan oleh Wajib Pajak ketika melaporkan pajak secara e-Filling maupun manual. Serta melihat persepsi Wajib Pajak terkait sistem e-Filling dan Manual. Metode yang digunakan Wilcoxon Mact Pair Test, dengan populasi Wajib Pajak Orang Pribadi (Usahawan dan Pekerjaan Bebas) di Kabupaterten Lamongan. Teknik pengumpulan data mengunakan kuesioner dengan cara acidental sampling. Dan hasil penelitian menunjukkan bahwa adanya perbedaan biaya kepatuhan waktu antara pelaporan dengan e-Filling dan manual. Dengan penjelasan biaya kepatuhan waktu secara manual lebih tinggi dari pada biaya kepatuhan waktu secara e-Filling.
Kata kunci : sistem pelaporan, e-Filling, biaya kepatuhan waktu, Wajib Pajak Orang Pribadi (Usahawan dan pekerjaan bebas) 
"
"NILAI KEKERABATAN DAN KEPERCAYAAN YANG KENTAL DI BALIK 
âCATATAN AKUNTANSIâ SEDERHANA PETANI TEMBAKAU MADURA :
(SEBUAH STUDI ETNOGRAFIS)",Penulis : Yulis Eka Setiawati,"Dosen Pembimbing I : Achdiar Redy Setiawan,SE.,MSA.,Ak.,CA","Dosen Pembimbing II :Nurul Herawati,SE.,M.Si","Abstrak
Yulis Eka Setiawati, Nilai Kekerabatan Yang Kuat Pada Usaha Tani Tembakau : Menguak Nilai Di Balik âCatatan Akuntansiâ Sederhana Petani Tembakau Madura (Sebuah Studi Etnografi). Di bawah bimbingan Achdiar Redy Setiawan, SE.,MSA.,Ak.,CA dan Nurul Herawati, SE.,M.Si. 
 Penelitian ini berusaha mengungkap nilai di balik catatan akuntansi sederhana petani tembakau Madura. Tujuan dari penelitian ini adalah untuk mengetahui gambaran catatan akuntansi petani tembakau dan pemaknaan dari para aktor terhadap seluruh seluruh aktivitas usaha. Penelitian ini merupakan penelitian kualitatif melalui studi pendekatan etnografi. Hasil penelitian ini menggambarkan bagaimana nilai budaya kekerabatan yang kuat mampu berkolaborasi dengan baik bersamaan dengan gambaran catatan akuntansi sederhana usaha tani tembakau yang mampu menciptakan nilai kekeluargaan dan kepercayaan. 
Kata kunci : Nilai budaya Kekerabatan, Kepercayaan, Catatan Akuntansi Sederhana
"
"Dampak Implementasi PMK Nomor. 191/Pmk.010/2015 Tentang
Revaluasi Aset Untuk Meminimalkan Beban Pajak Perusahaan (Studi
KasusPada PT. XYZ)",Penulis : SITI KHOTIJAH,"Dosen Pembimbing I : Gita Arasy Harwida, SE., Mtax., ak., QIA., CA ","Dosen Pembimbing II :Adi Darmawan Ervanto, SE., Ma., Ak., CA","Siti Khotijah, Dampak Implementasi PMK Nomor. 191/Pmk.010/2015 Tentang
Revaluasi Aset Untuk Meminimalkan Beban Pajak Perusahaan (Studi
KasusPada PT. XYZ). Dibawah bimbingan Gita Arasy Harwida, SE., M.Tax.,.Ak.,
QIA, CA , dan Adi Darmawan Ervanto, SE., MAk., CPA., Ak, CA.
Penelitian ini berusaha menganalisis dampak implementasi PMK Nomor
191/PMK.010/2015 tentang revaluasi aset untuk meminimalkan beban pajak
perusahaan. Tujuan dari penelitian ini adalah Untuk mengetahui Bagaimana
Dampak Implementasi Peraturan Menteri Keuangan Nomor 191/PMK.010/2015
tentang Revaluasi Aset untuk Meminimalkan Beban Pajak PT. XYZ. Penelitian ini
merupakan penelitian kualitatif deskriptif studi kasus. Hasil penelitian ini adalah
dengan adanya revaluasi aset perusahaan tidak akan dapat meminimalkan
beban pajaknya, akan tetapi perusahaan dapat meminimalkan beban pajaknya
dimasa yang akan datang dengan perolehan benefit yang didapatkan.
Kata kunci : revaluasi aset, perencanaan pajak"
"Pengaruh Mekanisme Corporate Governance, Kualitas Audit, dan Ukuran Perusahaan Terhadap Integritas Laporan Keuangan (Studi Pada Perusahaan Indeks Kompas 100 yang Terdaftar di Bursa Efek Indonesia (BEI)Tahun 2009-2014)",Penulis : Lailatul Qadari,"Dosen Pembimbing I : Dr. Prasetyono, SE., M.Si","Dosen Pembimbing II :Fariyana Kusumawati, SE., M.Si.","Lailatul Qadari, Pengaruh Kepemilikan Manajerial, Komite Audit, dan Kualitas
Audit terhadap Integritas Laporan Keuangan (Studi Pada Perusahaan Indeks
Kompas 100 yang Terdaftar di Bursa Efek Indonesia (BEI) Tahun 2009-2015). Di
bawah bimbingan Dr. Prasetyono, SE., M.Si dan Fariyana Kusumawati, SE., M.Si.
 Penelitian ini bertujuan untuk mengetahui pengaruh mekanisme corporate
governance, kualitas audit, dan ukuran perusahaan terhadap integritas laporan
keuangan. Penelitian ini dilakukan pada perusahaan indeks kompas 100 yang
terdaftar di Bursa Efek Indonesia (BEI) tahun 2009-2014. Variabel independen
dalam penelitian ini adalah mekanisme corporate governance yang terdiri dari
(kepemilikan institusional (INST), kepemilikan manajerial (MANJ), komisaris
independen (KIND), dan komite audit (KOAD)), kualitas audit (KUAD), dan ukuran
perusahaan (UKPR). Variabel dependen penelitian ini adalah integritas laporan
keuangan (ILK) yang diukur dengan indeks konservatisme market to book ratio.
Sampel yang digunakan dalam penelitian ini berjumlah 102 perusahaan indeks
kompas 100 yang terdaftar di Bursa Efek Indonesia (BEI) tahun 2009-2014.
 Hasil penelitian menunjukkan bahwa terdapat lima variabel independen yang
berpengaruh terhadap integritas laporan keuangan, diantaranya komponen
mekanisme corporate governance yaitu kepemilikan institusional (INST),
kepemilikan manajerial (MANJ), komisaris independen (KIND), dan komite audit
(KOAD), serta variabel independen lainnya yaitu ukuran perusahaan (UKPR)
berpengaruh terhadap integritas laporan keuangan. Dan terdapat satu variabel
independen lainnya yang tidak berpengaruh terhadap integritas laporan keuangan
yaitu kualitas audit (KUAD).
Kata kunci: integritas laporan keuangan, mekanisme corporate governance,
kualitas audit, ukuran perusahaan."
"Sistem Maro dan Nelu Pada Perjanjian Bagi Hasil Pertanian 
(Sebuah Studi Fenomenologi)",Penulis : Dika Andri Arianto,"Dosen Pembimbing I : Robiatul Auliyah, SE., MSA.","Dosen Pembimbing II :Anis Wulandari, SE., MSA., Ak., CA.","Dika Andri Arianto, Sistem Maro dan Nelu Pada Perjanjian Bagi Hasil Pertanian 
(Sebuah Studi Fenomenologi). Di bawah bimbingan Robiatul Auliyah, SE., MSA.
dan Anis Wulandari, SE., MSA., Ak., CA.
 
Penelitian ini bertujuan untuk mengetahui mekanisme perjanjian bagi hasil
pertanian. Selain itu, penelitian ini juga ingin mengungkap kesadaran para petani
penggarap dan pemilik lahan dalam melakukan perjanjian bagi hasil pertanian.
Penelitian ini menggunakan penelitian kualitatif dengan metode penelitian
fenomenologi transcendental untuk mengupas kesadaran individu petani
penggarap dan pemilik lahan. Situs Penelitian dalam penelitian ini yaitu di Desa
Turi â Banjaran, Kecamatan Maduran, Kabupaten Lamongan. Hasil penelitian ini
menunjukkan bahwa terdapat dua sistem bagi hasil, yaitu sistem bagi hasil maro
dan sistem bagi hasil nelu. Pembebanan biaya dalam sistem bagi hasil maro
ditanggung oleh kedua belah pihak. Pemilik lahan sistem maro mengeluarkan
setengah biaya pada saat pembelian pupuk dan setengah biaya pada saat panen. 
Selebihnya ditanggung oleh petani penggarap. Sedangkan untuk sistem nelu,
Pembebanan biaya ditanggung sepenuhnya oleh petani penggarap. Untuk
pembagian hasil, pada sistem maro petani penggarap dengan pemilik lahan samasama
mendapatkan
separo-separo
(50:50).
Sedangkan
untuk
sistem
nelu,
petani

penggarap

mendapatkan 2/3 dan untuk pemilik lahan mendapatkan 1/3. Dalam
pelaksanaannya petani penggarap dan pemilik lahan tidak menentukan batas
waktu kapan perjanjian berakhir, dan semua informan tidak membuat perjanjian
secara tertulis. 
Hasil penelitian selanjutnya menunjukkan bahwa terdapat beberapa hal
yang mendasari para informan melakukan perjanjian bagi hasil. Diantaranya yaitu
sistem maro lebih menguntungkan dalam hal pengeluaran biaya, sistem maro
dipilih karena ingin membantu petani yang mempunyai keterampilan tetapi tidak
mempunyai lahan untuk bertani, sistem nelu pembagian hasilnya banyak dan
sistem nelu dipilih karena tidak susah-susah mengeluarkan biaya. Hal yang
melandasi perjanjian bagi hasil pertanian yang tidak membuat perjanjian secara
tertulis adalah aturan yang tidak mengharuskan membuat perjanjian tertulis, saling
percaya, merasa ribet dan masih ada hubungan keluarga. Dalam pelaksanaan
perjanjian bagi hasil pertanian para informan tidak menentukan batasan waktu.
Kesadaran yang mendasari para informan yaitu, petani tidak ingin mau merugi,
pemilik lahan merasa kasihan dengan petani penggarap, perjanjian bagi hasil
berbeda dengan perjanjian gadai dan sewa dan yang terakhir pemilik lahan
merasa takut perjanjian berhenti tetapi tidak bertepatan dengan jadwal pulang ke
rumah karena kesibukannya mengurusi usaha mebelnya.  
Kata Kunci : Perjanjian Bagi Hasil Pertanian, Maro, Nelu"
Akuntabilitas Keuangan Pada Masjid Agung Bangkalan,Penulis : Anisatul Maulida,"Dosen Pembimbing I : Robiatul Auliyah, SE., MSA ","Dosen Pembimbing II :Anis Wulandari, SE., MSA., Ak., CA.","Anisatul Maulida, Akuntabilitas Keuangan Pada Masjid Agung Bangkalan. Dibawah bimbingan Robiatul Auliyah, SE., MSA dan Anis Wulandari, SE., MSA., Ak., CA.

Penelitian ini berupaya mengungkap Praktik Akuntabilitas Keuangan Pada Masjid Agung Bangkalan. Tujuan penelitian ini untuk mengetahui pemaknaan tugas dari aktor mengenai akuntabilitas Keuangan, serta akuntabilitas vertikal yang dimiliki aktor dalam mempertanggungjawabkan tugasnya. Penelitian ini menggunakan jenis kualitatif dengan metode fenomenologi. Akuntabilitas pada penelitian ini, berdasarkan pada bagaimana pengurus masjid melakukan pengelolaan, pengungkapan dan  pelaporan pada keuangan masjid. 
Berdasarkan wawancara dengan informan ditemukan adanya fenomena akuntabilitas yang sederhana, namun tetap mempedulikan akuntabilitas sebagai hal utama. Pengelolaan sumber daya dapat di lihat dari fasilitas yang diberikan dan acara kegiatan yang dibuat pengurus masjid, selain itu laporan keuangan yang dibuat hanya mengenai laporan aktivitas, terdiri dari akun pendapatan dan pengeluaran, sedangkan pengungkapan laporan keuangan dilakukan dalam setiap bulan kepada masyarakat. Bendahara Masjid Agung Bangkalan memegang keyakinan bahwa segala pertanggungjawaban yang telah di amanahkan itu akan kembali kepada Allah. Amanah dari Allah di praktikkan melalui etika bendahara dalam melakukan tugasnya, seperti Tanggungjawab, Shiddiq, Tabligh dan Niat Karena Allah.

Kata Kunci  : Akuntabilitas Keuangan, Fenomenologi, Masjid Agung Bangkalan, Akuntabilitas Vertikal.
"
"PENGARUH SIKAP, NORMA SUBJEKTIF, PERSEPSI DAN MOTIVASI MAHASISWA JURUSAN AKUNTANSI TERHADAP PEMINATAN KARIR DALAM BIDANG PERPAJAKAN(Pada Mahasiswa Prodi Akuntansi Angkatan 2013 dan 2014  Universitas T",Penulis : KARTINI HASAN BASRI ,"Dosen Pembimbing I : Gita Arasy Harwida, SE., Mtax., Ak., QIA","Dosen Pembimbing II :Muhammad Syam Kusufi, S.E., M.Sc","ABSTRAK
 Penelitian ini bertujuan untuk mengetahui pengaruh Sikap, Norma Subjektif, Persepsi dan Motivasi Karir, Motivasi Kualitas dan Motivasi Ekonomi Mahasiswa Jurusan Akuntansi yang Sedang Mengambil Konsentrasi Akuntansi Perpajakan Terhadap Peminatan Karir dalam Bidang Perpajakan. Penelitian ini merupakan penelitian kuantitatif dan jenis data yang digunakan adalah data primer yang bersumber dari kuesioner. Populasi dalam penelitian ini yaitu Mahasiswa Prodi Akuntansi Fakultas Ekonomi dan BIsnis Universitas Trunojoyo Madura. Jumlah sampel 144 Mahasiswa Jurusan Akuntansi yang sedang mengambil konsentrasi Akuntansi perpajakan angkatan tahun 2013 dan 2014 dengan tehnik purposive sampling. Sedangkan tehnik analisis data dalam penelitian ini menggunakan analisis regresi linier berganda. Berdasarkan hasil analisis dan pembahasan. Hasil uji simultan menunjukkan bahwa sikap, norma subjektif, persepsi, motivasi karir, motivasi kualitas dan motivasi ekonomi berpengaruh terhadap minat karir dalam bidang perpajakan. Hasil uji parsial menunjukkan bahwa sikap berpengaruh terhadap minat karir dalam bidang perpajakan, norma subjektif berpengaruh terhadap minat karir dalam bidang perpajakan, persepsi berpengaruh terhadap minat karir dalam bidang perpajakan, motivasi karir berpengaruh terhadap minat karir dalam bidang perpajakan, motivasi kualitas tidak berpengaruh terhadap minat karir dalam bidang perpajakan dan motivasi ekonomi tidak berpengaruh terhadap minat karir dalam bidang perpajakan.
Kata Kunci: Sikap, Norma Subjektif, Persepsi, Motivasi Karir, Motivasi Kualitas, Motivasi Ekonomi Dan Minat Karir Dalam Bidang Perpajakan.
"
"Mekanisme dan Perlakuan Akuntansi Terhadap Penyaluran Dana
Zakat,Infak/Sedekah (ZIS) Produktif. (Studi Kasus pada Lembaga Manajemen Infaq
(LMI) Cabang Surabaya).",Penulis : Laila Fitriani,"Dosen Pembimbing I : Prof. Dr. M. Nizarul Alim, S.E., M.Si., Ak.","Dosen Pembimbing II :Muhammad Syam Kusufi,S.E.,M.Sc.","ABSTRAK
Laila Fitriani, Mekanisme dan Perlakuan Akuntansi Terhadap Penyaluran Dana
Zakat,Infak/Sedekah (ZIS) Produktif. (Studi Kasus pada Lembaga Manajemen Infaq
(LMI) Cabang Surabaya). Dibawah bimbingan Prof. Dr. M. Nizarul Alim, S.E., M.Si., Ak.
dan Muhammad Syam Kusufi,S.E.,M.Sc.
Penelitian ini mencoba menguak rasa penasaran atas mekanisme dan perlakuan
akuntansi terhadap penyaluran dana zakat infak/sedekah produktif yang dijalankan
oleh Lembaga Amil Zakat. Dalam regulasinya, zakat dapat didayagunakan untuk
usaha produktif guna meningkatkan kesejahteraan umat, sedangkan dalam standar
akuntansinya belum diatur. Melainkan menjelaskan tentang pengelolaan dana
Infak/sedekah sebagai dana bergulir (pinjaman) yang harus dikembalikan dan
tentunya ini tidak dibenarkan.
Metode pengumpulan data yang digunakan adalah semi-structured interview dan
dokumentasi. Hasil penelitian ini menunjukkan bahwa Lembaga Amil Zakat telah
menjalankan tugasnya sesuai regulasi yang berlaku dan sedang dalam proses
menerapkan standar akuntansi yang terkait pula. Berkaitan dengan penyaluran dana
ZIS Produktif, LMI Cabang Surabaya memfokuskan pada program EMAS (Ekonomi
Masyarakat Sejahtera) dengan memberikan pembiayaan dalam bentuk modal usaha.
LMI Cabang Surabaya menggunakan dua metode penyaluran dana yaitu berupa hibah
dengan menggunakan dana zakat dan pinjaman (qardul hasan) dengan memberikan
edukasi kepada penerima dana untuk mengembalikan pinjaman tersebut agar lebih
bertanggungjawab terhadap dana maupun usaha produktifnya. Dengan metode
tersebut maka pinjaman yang telah diberikan tidak masuk sebagai penerimaan ZIS
tetapi masuk sebagai dana usaha yang akan di himpun oleh bagian pendayagunaan
lembaga.
Kata kunci: Zakat Produktif, Pinjaman, Mekanisme ZIS, Akuntansi Zakat,
Perlakuan Akuntansi, PSAK 109"
"PENGARUH KUALITAS PELAYANAN TERHADAP KEPUASAN WAJIB
PAJAK 
(Studi Pada Pelayanan Samsat Kabupaten Sumenep)
",Penulis : ISNAINIYAH ,"Dosen Pembimbing I : Nurul Kompyurini, SE.,MAK.,Ak, CA ","Dosen Pembimbing II :Gita Arasy Harwida SE., Mtax., Ak.,QIA, CA","Tujuan dari penelitian ini adalah untuk mengetahui apakah bukti fisik,
kehandalan, ketanggapan, jaminan dan empati secara simultan berpengaruh
terhadap kepuasan wajib pajak di Samsat Sumenep, dan mengetahui apakah bukti
fisik, kehandalan, ketanggapan, jaminan dan empati secara persial berpengaruh
terhadap kepuasan wajib pajak di Samsat Sumenep. Penelitian ini menggunakan
penelitian kuantitatif dengan Teknik pengambilan sampel pada penelitian ini
menggunakan Simple Random Sampling. Metode pengumpulan data yang
digunakan adalah data primer dengan menyebarkan kuesioner. Teknik analisis data
dalam penelitian ini adalah regresi linier berganda,berdasarkan hasil analisis yang
dilakukan maka diperoleh kesimpulan bahwa secara simultan bukti fisik, kehandalan,
daya tanggap, jaminan dan empati berpengaruh terhadap kepuasan wajib pajak.
Secara persial bukti fisik dan jaminan tidak berpengaruh sedangkan kehandalan,
daya tanggap dan empati berpengaruh secara persial.  
 
Kata kunci: kualitas pelayanan dan kepuasan wajib pajak.
"
"FAKTOR-FAKTOR YANG MEMPENGARUHI PERSEPSI WAJIB PAJAK
MENGENAI PENGGELAPAN PAJAK (TAX EVASION)
(Studi Kasus Pada Wajib Pajak Yang Melakukan Kegiatan Usaha Atau
Pekerjaan Bebas Yang Terdaftar Di KPP Pra",Penulis : TRIA SINKA SEPTIANA,"Dosen Pembimbing I : Junaidi, SE., M.Si., Ak., CA","Dosen Pembimbing II :Muhammad Syam Kusufi, SE., MSc","Tujuan penelitian ini adalah untuk mengetahui pengaruh keadilan, sistem
perpajakan, diskriminasi dan kepercayaan akan kekuasaan otoritas pajak terhadap
persepsi wajib pajak mengenai penggelapan pajak. Populasi dalam penelitian ini
adalah wajib pajak orang pribadi yang melakukan kegiatan usaha dan pekerjaan
bebas yang berada atau terdaftar di KPP Pratama Bangkalan. Penelitian ini
menggunakan penelitian kuantitatif dengan teknik pengambilan sampel
menggunakan Insidental sampling. Metode pengumpulan data yang digunakan
adalah data primer dengan menyebarkan kuesioner. Teknik analisis data dalam
penelitian ini adalah regresi linier berganda. Berdasarkan hasil analisis yang
dilakukan maka diperoleh kesimpulan bahwa diskriminasi berpengaruh signifikan
terhadap persepsi wajib pajak mengenai penggelapan pajak. Sedangkan keadilan,
sistem perpajakan dan kepercayaan pada kekuasaan otoritas pemerintah tidak
berpengaruh signifikan terhadap persepsi wajib pajak mengenai penggelapan pajak.
.
Kata kunci : Keadilan, Sistem Perpajakan, Diskriminasi, Kepercayaan Pada
Kekuasaan Otoritas Pemerintah, Persepsi, Penggelapan Pajak"
